"","artist","genre","museums","born","firstName","nationality","medium","century"
"34","Altichiero","Gothic Era","Courtauld Institute of Art, Studio Esseci, Virginia Museum of Fine Arts",1330,"Altichiero","Italian","Painter",13
"35","Aby Altson","Classicist","Unknown",1864,"Aby","Australian","Painter",18
"36","Edmond-François Aman-Jean","Art Nouveau","Fine Arts Museums of San Francisco, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Musée d'Orsay, Museum of Modern Art, National Gallery of Art, National Gallery of Australia, Edmond-Francois Aman-Jean at the Smithsonian American Art Museum, Carnegie Museum of Art, Cleveland Museum of Art, Harvard University Art Museums, Los Angeles County Museum of Art, National Gallery of Victoria, National Museum of Western Art, Philadelphia Museum of Art, Telfair Museums, Flemish Art Collection Database",1860,"Edmond-François","French","Painter",18
"37","Giovanni Antonio Amadeo","Early Renaissance","Kress Foundation Collection, National Gallery of Art, Courtauld Institute of Art",1447,"Giovanni","Italian","Sculptor",14
"38","Eugène-Emmanuel Amaury-Duval","Academic","Louvre Museum Graphic Art Database, Musée d'Orsay, Musée d'Orsay, Musée des Beaux-Arts de Rennes, Museum Collection Database for the Region of Haute-Normandie, France, Palais des Beaux-Arts de Lille, The Essence of Line: French Drawings from Ingres to Degas",1808,"Eugène-Emmanuel","French","Painter",18
"39","Friedrich von Amerling","Academic","Kunsthistorisches Museum Databank, Liechtenstein Museum, Liechtenstein Museum, Liechtenstein Museum, Liechtenstein Museum, Liechtenstein Museum, Smithsonian American Art Museum, Cleveland Museum of Art, Österreichische Galerie Belvedere, State Museums of Florence Digital Archive",1803,"Friedrich","Austrian","Painter",18
"40","Giacomo Amiconi","Rococo Era","Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Fitzwilliam Museum at the University of Cambridge, Hermitage Museum, Hermitage Museum, Kress Foundation Collection, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Museum of Fine Arts, National Gallery of Art, Prado Museum Database, Tate Gallery, The Royal Collection, Ackland Art Museum at the University of North Carolina, Art Gallery of Greater Victoria, Ashmolean Museum at the University of Oxford, Ca' Rezzonico - Museo del Settecento Veneziano, Ca' Rezzonico - Museo del Settecento Veneziano, Ca' Rezzonico - Museo del Settecento Veneziano, Ca' Rezzonico - Museo del Settecento Veneziano, Christchurch Art Gallery / Te Puna O Waiwhetu, Courtauld Institute of Art, Drawings from the Biblioteca Ambrosiana, Harvard University Art Museums, Museum Bredius, National Gallery of Victoria, National Museum of Art of Romania, National Portrait Gallery, Philadelphia Museum of Art, Princeton University Art Museum, Staatsgalerie Stuttgart, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), Art Fund for UK Museums, UK National Inventory of Continental European Paintings (NICE)",1682,"Giacomo","Italian","Painter",16
"41","Jan van Amstel","Northern Renaissance","Louvre Museum Graphic Art Database, Bob Jones University Museum & Gallery, Bowes Museum, Staatsgalerie Stuttgart, Flemish Art Collection Database, UK National Inventory of Continental European Paintings (NICE)",1500,"Jan","Flemish","Painter",15
"42","Bartolommeo Ammanati","Mannerist","Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Courtauld Institute of Art, Indianapolis Museum of Art, Statens Museum for Kunst (National Gallery of Denmark), The Huntington Library, The Walters Art Museum",1511,"Bartolommeo","Italian","Sculptor",15
"43","Anna Ancher","Impressionist","Funen Kunstmuseum, Hirschsprung Collection, New Carlsberg Glyptotek, Oglethorpe University Museum, Randers Kunstmuseum, Skagens Museum, Statens Museum for Kunst (National Gallery of Denmark), Danish Museums Online",1859,"Anna","Danish","Painter",18
