"ABBREV","ACCF_RATE","ACCF_CNT","ACCF_ECNT","ACCM_RATE","ACCM_CNT","ACCM_ECNT","BLAF_RATE","BLAF_CNT","BLAF_ECNT","BLAM_RATE","BLAM_CNT","BLAM_ECNT","BRAF_RATE","BRAF_CNT","BRAF_ECNT","BRAM_RATE","BRAM_CNT","BRAM_ECNT","BREF_RATE","BREF_CNT","BREF_ECNT","CERF_RATE","CERF_CNT","CERF_ECNT","COLF_RATE","COLF_CNT","COLF_ECNT","COLM_RATE","COLM_CNT","COLM_ECNT","ESOF_RATE","ESOF_CNT","ESOF_ECNT","ESOM_RATE","ESOM_CNT","ESOM_ECNT","KIDF_RATE","KIDF_CNT","KIDF_ECNT","KIDM_RATE","KIDM_CNT","KIDM_ECNT","LEUF_RATE","LEUF_CNT","LEUF_ECNT","LEUM_RATE","LEUM_CNT","LEUM_ECNT","LGBF_RATE","LGBF_CNT","LGBF_ECNT","LGBM_RATE","LGBM_CNT","LGBM_ECNT","LUNF_RATE","LUNF_CNT","LUNF_ECNT","LUNM_RATE","LUNM_CNT","LUNM_ECNT","NHLF_RATE","NHLF_CNT","NHLF_ECNT","NHLM_RATE","NHLM_CNT","NHLM_ECNT","ORAF_RATE","ORAF_CNT","ORAF_ECNT","ORAM_RATE","ORAM_CNT","ORAM_ECNT","OTHF_RATE","OTHF_CNT","OTHF_ECNT","OTHM_RATE","OTHM_CNT","OTHM_ECNT","OVAF_RATE","OVAF_CNT","OVAF_ECNT","PANF_RATE","PANF_CNT","PANF_ECNT","PANM_RATE","PANM_CNT","PANM_ECNT","PROM_RATE","PROM_CNT","PROM_ECNT","RECF_RATE","RECF_CNT","RECF_ECNT","RECM_RATE","RECM_CNT","RECM_ECNT","STOF_RATE","STOF_CNT","STOF_ECNT","STOM_RATE","STOM_CNT","STOM_ECNT","UTEF_RATE","UTEF_CNT","UTEF_ECNT","ACCT_RATE","ACCT_CNT","ACCT_ECNT","BLAT_RATE","BLAT_CNT","BLAT_ECNT","BRAT_RATE","BRAT_CNT","BRAT_ECNT","BRET_RATE","BRET_CNT","BRET_ECNT","CERT_RATE","CERT_CNT","CERT_ECNT","COLT_RATE","COLT_CNT","COLT_ECNT","ESOT_RATE","ESOT_CNT","ESOT_ECNT","KIDT_RATE","KIDT_CNT","KIDT_ECNT","LEUT_RATE","LEUT_CNT","LEUT_ECNT","LGBT_RATE","LGBT_CNT","LGBT_ECNT","LUNT_RATE","LUNT_CNT","LUNT_ECNT","NHLT_RATE","NHLT_CNT","NHLT_ECNT","ORAT_RATE","ORAT_CNT","ORAT_ECNT","OTHT_RATE","OTHT_CNT","OTHT_ECNT","OVAT_RATE","OVAT_CNT","OVAT_ECNT","PANT_RATE","PANT_CNT","PANT_ECNT","PROT_RATE","PROT_CNT","PROT_ECNT","RECT_RATE","RECT_CNT","RECT_ECNT","STOT_RATE","STOT_CNT","STOT_ECNT","UTET_RATE","UTET_CNT","UTET_ECNT","REGION"
"ME",145.19,28410,26264,228.6,32246,29596,2.37,561,436,8.33,1146,936,2.97,545,599,5,726,728,26.68,4917,4878,4.6,762,557,17.6,3729,3197,21.62,3063,2855,1.64,319,248,6.13,834,675,2.8,536,439,5.75,805,689,4.64,915,1010,8.52,1209,1236,3.17,667,712,3.93,579,675,25.25,4690,4357,76.49,10738,9781,4.79,1000,949,6.86,968,994,1.64,324,271,4.94,725,559,11.33,2370,2047,17.76,2434,2047,8.86,1603,1531,7.36,1471,1417,10.48,1506,1446,24.14,3375,3134,3.38,752,541,5.82,851,625,3.87,834,732,7.51,1112,1039,4.04,788,742,186.895,60656,55860,5.35,1707,1372,3.985,1271,1327,26.68,4917,4878,4.6,762,557,19.61,6792,6052,3.885,1153,923,4.275,1341,1128,6.58,2124,2246,3.55,1246,1387,50.87,15428,14138,5.825,1968,1943,3.29,1049,830,14.545,4804,4094,8.86,1603,1531,8.92,2977,2863,24.14,3375,3134,4.6,1603,1166,5.69,1946,1771,4.04,788,742,"maine"
"MI",136.61,165955,163123,208.83,192268,188944,2.11,2833,2538,6.99,6328,5777,3.76,4297,3919,5.69,5361,4895,25.7,31932,31052,3.18,3541,3657,14.78,18881,19162,19.91,18423,17976,1.23,1560,1519,5.15,4788,4352,2.43,2849,2703,4.82,4478,4445,5.57,6428,6230,9.39,8580,7975,3.63,4607,4286,4.7,4272,4281,22.96,27160,27591,67.38,62839,63061,5.25,6330,5831,7.36,6725,6395,1.28,1526,1689,3.32,3596,3659,11.02,13297,12463,14.84,13418,13068,8.58,9987,9712,6.95,8434,8573,9.81,9043,9227,22.92,19584,18961,2.31,3136,3245,4.49,4067,3986,3.3,4432,4389,7.35,6866,6614,4.11,4958,4558,172.72,358223,352067,4.55,9161,8315,4.725,9658,8814,25.7,31932,31052,3.18,3541,3657,17.345,37304,37138,3.19,6348,5871,3.625,7327,7148,7.48,15008,14205,4.165,8879,8567,45.17,89999,90652,6.305,13055,12226,2.3,5122,5348,12.93,26715,25531,8.58,9987,9712,8.38,17477,17800,22.92,19584,18961,3.4,7203,7231,5.325,11298,11003,4.11,4958,4558,"michigan"
"MN",122.64,83631,87720,179.4,93768,103412,1.52,1322,1481,5.47,2909,3354,3.82,2219,2003,5.4,2674,2510,25.67,16351,16247,2.25,1296,1885,14.19,9984,10774,18.74,9531,10067,0.83,782,826,4.24,2318,2319,2.85,1739,1456,5.2,2608,2382,5.62,3624,3424,9.54,4710,4385,3.91,2552,2385,4.03,2137,2351,15.09,11116,14292,47.12,25443,33584,5.3,3656,3179,7.38,3734,3457,0.78,699,904,2.5,1529,1934,8.19,6068,6872,10.46,5710,7147,8.64,5351,5079,6.79,4819,4741,9.51,4942,5039,23.87,12411,11359,2.19,1621,1820,4.24,2129,2222,3.37,2576,2478,7.91,3956,3681,3.71,2468,2478,151.02,177399,191132,3.495,4231,4835,4.61,4893,4513,25.67,16351,16247,2.25,1296,1885,16.465,19515,20841,2.535,3100,3145,4.025,4347,3838,7.58,8334,7809,3.97,4689,4736,31.105,36559,47876,6.34,7390,6636,1.64,2228,2838,9.325,11778,14019,8.64,5351,5079,8.15,9761,9780,23.87,12411,11359,3.215,3750,4042,5.64,6532,6159,3.71,2468,2478,"minnesota"
"MO",123.08,106701,109810,200.37,123805,122769,1.45,1692,1845,5.51,3566,3949,3.51,2506,2463,5.28,2984,2933,22.74,19051,20270,3.74,2490,2320,14.61,13400,13511,18.27,11955,11920,0.69,760,1047,3.7,2505,2779,2.22,1832,1834,4.95,2997,2843,5.14,4321,4193,8.92,5215,5094,3.57,2974,3003,4.31,2629,2802,19.36,17736,18027,71.32,44050,40431,4.5,4082,3970,6.6,3999,4064,0.89,921,1138,2.86,2070,2319,11.47,9409,8593,17.02,9793,8470,7.31,6232,6391,5.8,5392,5978,8.9,5481,6012,19.88,12416,13221,2.12,2012,2292,3.17,2247,2628,2.48,2316,3111,5.28,3301,4364,4.03,3206,3138,161.725,230506,232579,3.48,5258,5794,4.395,5490,5396,22.74,19051,20270,3.74,2490,2320,16.44,25355,25431,2.195,3265,3826,3.585,4829,4677,7.03,9536,9287,3.94,5603,5805,45.34,61786,58458,5.55,8081,8034,1.875,2991,3457,14.245,19202,17063,7.31,6232,6391,7.35,10873,11990,19.88,12416,13221,2.645,4259,4920,3.88,5617,7475,4.03,3206,3138,"missouri"
"MS",117.28,32288,36603,216.3,42794,40987,1.31,428,574,4.97,958,1255,4.09,1056,859,5.96,1200,1039,20.8,5409,6880,2.97,741,787,13.02,3651,4332,15.61,3136,3911,0.9,287,347,3.25,698,953,1.96,538,612,4.55,920,965,4.87,1380,1380,9.68,1837,1704,3.17,847,971,4.99,1007,934,20.6,5759,6274,84.71,16930,13756,4,1191,1316,6.19,1241,1380,1.18,383,386,3.42,749,788,10.56,2920,2808,16.7,3153,2847,6.11,1587,2167,6.67,1992,1957,11.27,2198,2003,20.66,3970,4147,1.58,493,723,2.31,501,857,2.97,818,988,6.2,1136,1424,2.69,693,1033,166.79,75082,77590,3.14,1386,1829,5.025,2256,1898,20.8,5409,6880,2.97,741,787,14.315,6787,8243,2.075,985,1300,3.255,1458,1577,7.275,3217,3084,4.08,1854,1905,52.655,22689,20030,5.095,2432,2696,2.3,1132,1174,13.63,6073,5655,6.11,1587,2167,8.97,4190,3960,20.66,3970,4147,1.945,994,1580,4.585,1954,2412,2.69,693,1033,"mississippi"
"MT",123.29,14733,15562,190.75,18270,19946,1.71,242,252,6.59,657,631,3.21,357,366,5.67,541,494,24,2707,2927,2.61,317,337,13.15,1642,1853,16.7,1680,1927,1.07,129,141,4.2,388,455,2.38,242,259,4.71,464,464,5.03,603,599,8.9,797,840,3.18,393,412,3.94,368,455,18.83,2359,2627,56.48,5373,6579,4.45,531,560,5.85,601,665,1.22,158,159,2.54,287,376,9.14,1107,1199,13.19,1164,1380,9.14,891,914,7.92,943,825,9.5,933,973,27.64,2569,2126,2.15,325,308,4.29,446,417,2.94,381,421,6.78,648,704,3.7,472,430,157.02,33003,35508,4.15,899,883,4.44,898,860,24,2707,2927,2.61,317,337,14.925,3322,3780,2.635,517,596,3.545,706,723,6.965,1400,1439,3.56,761,867,37.655,7732,9206,5.15,1132,1225,1.88,445,535,11.165,2271,2579,9.14,891,914,8.71,1876,1798,27.64,2569,2126,3.22,771,725,4.86,1029,1125,3.7,472,430,"montana"
"NC",120.54,90241,100749,207.78,109131,110190,1.62,1314,1511,5.26,2700,3251,3.82,2603,2432,5.35,3046,2922,23.7,17018,19224,3.23,2213,2210,12.48,9712,11597,16.28,8555,10363,1.04,845,939,4.03,2189,2587,1.95,1483,1675,4.73,2564,2622,4.92,3750,3754,8.66,4373,4591,2.66,2036,2606,4.02,2149,2496,20.16,14915,17726,77.35,40735,37359,4.25,3362,3632,6.27,3435,3793,1.5,1150,1041,3.76,2020,2128,10.14,7723,7654,15.45,8136,7680,7.15,5356,6020,6,4800,5280,10.07,5416,5353,22.37,10810,10676,1.97,1488,1926,3.05,1653,2240,2.64,2028,2612,5.35,2825,3757,2.9,2116,2780,164.16,199372,210939,3.44,4014,4762,4.585,5649,5354,23.7,17018,19224,3.23,2213,2210,14.38,18267,21960,2.535,3034,3526,3.34,4047,4297,6.79,8123,8345,3.34,4185,5102,48.755,55650,55085,5.26,6797,7425,2.63,3170,3169,12.795,15859,15334,7.15,5356,6020,8.035,10216,10633,22.37,10810,10676,2.51,3141,4166,3.995,4853,6369,2.9,2116,2780,"north carolina"
"ND",119.28,12551,13748,171.87,15522,17864,1.09,176,231,5.24,461,589,3.76,359,311,5.49,448,416,25.68,2471,2526,2.75,248,289,12.65,1498,1692,18.2,1559,1752,0.98,117,131,3.73,335,399,3.54,306,233,5.15,478,405,4.73,530,538,8.74,794,749,4.03,443,375,3.47,310,408,12.74,1375,2256,42.96,3969,5783,5.07,554,497,7.28,610,588,0.78,95,143,2.3,205,333,7.42,794,1078,9.11,859,1228,8.4,852,793,7.22,791,745,9.91,856,871,24.78,2372,2017,2.18,260,283,3.7,375,387,4.51,508,388,8.73,770,639,3.63,362,393,145.575,28073,31612,3.165,637,820,4.625,807,727,25.68,2471,2526,2.75,248,289,15.425,3057,3444,2.355,452,530,4.345,784,638,6.735,1324,1287,3.75,753,783,27.85,5344,8039,6.175,1164,1085,1.54,300,476,8.265,1653,2306,8.4,852,793,8.565,1647,1616,24.78,2372,2017,2.94,635,670,6.62,1278,1027,3.63,362,393,"north dakota"
"NE",114.94,33483,36232,176.01,38688,42031,1.32,501,630,5.51,1227,1392,3.17,851,797,5.1,1026,982,24.3,6404,6617,2.46,611,761,14.58,4471,4553,18.76,4222,4134,0.72,252,339,4.2,909,939,2.15,655,605,3.87,965,961,5.14,1512,1418,9.49,1877,1764,3.09,901,1008,3.4,738,957,13.27,4400,5802,50.63,11642,13583,4.7,1424,1313,6.36,1307,1388,0.88,260,369,2.5,655,780,7.46,2268,2875,11.47,2325,2899,7.93,2148,2075,6.3,1941,1989,9.16,2042,2060,21.27,4627,4733,2.16,683,770,3.6,900,915,3.07,915,1050,6.12,1287,1514,4.05,1090,1041,145.475,72171,78263,3.415,1728,2022,4.135,1877,1779,24.3,6404,6617,2.46,611,761,16.67,8693,8687,2.46,1161,1278,3.01,1620,1566,7.315,3389,3182,3.245,1639,1965,31.95,16042,19385,5.53,2731,2701,1.69,915,1149,9.465,4593,5774,7.93,2148,2075,7.73,3983,4049,21.27,4627,4733,2.88,1583,1685,4.595,2202,2564,4.05,1090,1041,"nebraska"
"NH",146.9,21828,19990,223.78,23896,22353,2.19,379,322,8.56,871,683,3.59,459,470,5.16,552,579,28.77,4153,3755,4.44,558,435,16.66,2739,2388,21.12,2294,2130,1.48,236,187,6.57,698,517,2.17,349,332,4.93,553,524,4.81,708,770,8.5,885,944,3.25,506,533,4.36,472,509,25.49,3523,3358,72.29,7700,7437,4.45,642,722,7.16,780,765,1.46,213,204,4.86,535,425,11.98,1874,1547,15.77,1747,1554,9.75,1333,1168,7.14,1128,1063,10.95,1137,1085,24.13,2480,2275,3.37,571,402,6.32,665,463,3.21,562,544,7.4,831,774,3.98,610,558,185.34,45724,42343,5.375,1250,1005,4.375,1011,1049,28.77,4153,3755,4.44,558,435,18.89,5033,4518,4.025,934,704,3.55,902,856,6.655,1593,1714,3.805,978,1042,48.89,11223,10795,5.805,1422,1487,3.16,748,629,13.875,3621,3101,9.75,1333,1168,9.045,2265,2148,24.13,2480,2275,4.845,1236,865,5.305,1393,1318,3.98,610,558,"new hampshire"
"NJ",149.68,172213,154540,225.33,185875,172941,2.22,2809,2427,8.5,6651,5295,3.4,3556,3605,5.13,4233,4352,30.43,34701,29287,3.33,3242,3402,18.14,22251,18319,24.82,20858,16496,1.33,1634,1456,5.41,4520,4005,2.25,2522,2568,5.06,4236,4071,5.16,5773,5761,8.63,7050,7088,3.76,4608,4097,5.18,4344,3921,25.52,27767,26191,71,58369,58222,4.69,5499,5522,7.18,6107,5793,1.48,1693,1613,4.32,3731,3369,9.8,11632,11846,14.76,11994,11973,9.58,10579,9220,7.48,9085,8209,10.71,9162,8487,22.91,17991,17365,3.48,4245,3101,6.06,4893,3643,4.28,5633,4191,9.35,8032,6053,4.48,5102,4368,187.505,358088,327481,5.36,9460,7722,4.265,7789,7957,30.43,34701,29287,3.33,3242,3402,21.48,43109,34815,3.37,6154,5461,3.655,6758,6639,6.895,12823,12849,4.47,8952,8018,48.26,86136,84413,5.935,11606,11315,2.9,5424,4982,12.28,23626,23819,9.58,10579,9220,9.095,18247,16696,22.91,17991,17365,4.77,9138,6744,6.815,13665,10244,4.48,5102,4368,"new jersey"
"NM",118.84,19824,21807,166.92,22712,27127,1.82,289,315,4.68,595,811,3.08,420,550,3.94,593,716,20.64,3653,4204,3.19,512,491,11.91,2005,2453,14.6,1947,2566,1.09,174,199,3.56,440,629,2,320,364,3.92,580,640,5.2,766,833,7.5,1051,1151,4.99,714,549,4.94,672,614,19.15,3178,3880,45.3,6419,9103,3.46,648,783,4.78,727,939,0.91,195,222,2.74,373,515,11.39,1838,1639,14.98,1960,1892,6.31,1164,1303,6.96,1129,1125,10.06,1308,1309,21.91,2703,2721,1.87,324,408,3.08,410,546,4.14,669,548,8.08,1075,921,3.24,531,592,142.88,42536,48934,3.25,884,1126,3.51,1013,1266,20.64,3653,4204,3.19,512,491,13.255,3952,5019,2.325,614,828,2.96,900,1004,6.35,1817,1984,4.965,1386,1163,32.225,9597,12983,4.12,1375,1722,1.825,568,737,13.185,3798,3531,6.31,1164,1303,8.51,2437,2434,21.91,2703,2721,2.475,734,954,6.11,1744,1469,3.24,531,592,"new mexico"
"NV",141.17,15801,14354,200.62,20157,19502,2.62,222,187,4.91,613,535,3.51,351,373,4.7,484,537,23.98,2773,2816,2.72,345,320,12.72,1399,1523,16.18,1648,1794,1.11,167,130,4.95,465,474,2.35,235,239,5.99,461,472,4.38,502,527,8.35,747,797,2.37,290,348,4.35,431,446,33.37,3931,2747,64.35,7226,6779,4.4,450,519,4.92,639,693,1.65,203,145,4.8,369,377,15.91,1519,1056,21.75,1839,1376,7.61,821,870,6.48,827,722,9.94,997,939,21.07,1790,1783,1.55,251,245,3.62,359,371,3.86,310,334,7.24,608,634,3.42,349,376,170.895,35958,33856,3.765,835,722,4.105,835,910,23.98,2773,2816,2.72,345,320,14.45,3047,3317,3.03,632,604,4.17,696,711,6.365,1249,1324,3.36,721,794,48.86,11157,9526,4.66,1089,1212,3.225,572,522,18.83,3358,2432,7.61,821,870,8.21,1824,1661,21.07,1790,1783,2.585,610,616,5.55,918,968,3.42,349,376,"nevada"
"NY",146.33,400827,367451,216.8,416985,405056,2.35,6887,5984,8.05,15200,12816,3.13,7379,8398,4.57,8904,9916,29.55,81428,68957,4.1,7800,8062,17.99,51885,44605,23.17,47592,39065,1.34,4298,3485,5.32,10371,9245,2.47,6120,6110,5.19,9643,9426,5.39,13857,13871,8.96,16483,16732,3.49,10715,9945,4.69,10078,9203,25.26,62520,60323,70.72,126852,134445,4.75,13618,13134,7.13,14971,13397,1.51,3888,3840,4.14,8660,7848,8.4,25686,28436,11.62,24310,27893,9.4,23905,21763,7.37,22439,19748,10.75,21875,19937,22.88,40643,42116,3.63,9881,7621,6.15,11584,8753,3.52,13589,10300,7.73,18523,14459,4.07,11493,10524,181.565,817812,772507,5.2,22087,18800,3.85,16283,18314,29.55,81428,68957,4.1,7800,8062,20.58,99477,83670,3.33,14669,12730,3.83,15763,15536,7.175,30340,30603,4.09,20793,19148,47.99,189372,194768,5.94,28589,26531,2.825,12548,11688,10.01,49996,56329,9.4,23905,21763,9.06,44314,39685,22.88,40643,42116,4.89,21465,16374,5.625,32112,24759,4.07,11493,10524,"new york"
"OH",136.64,224428,214882,210.87,252092,238907,1.98,3741,3409,6.91,8194,7350,3.37,4886,5056,4.99,6169,6096,26.6,43286,40592,4.32,5417,4738,16.92,28517,25560,21.15,25456,22789,1.01,1938,2021,5.1,6204,5503,2.54,3920,3570,5.06,5927,5606,5.36,8618,8182,9.15,10394,10008,3.76,6255,5713,4.37,5321,5414,22.35,37287,36127,72.13,86694,79746,4.92,7969,7691,7.07,8443,8047,1.06,2030,2231,3.42,4791,4622,9.68,16028,16515,13.78,15983,16528,8.37,13286,12731,6.13,10859,11396,9.31,11204,11681,21.99,24717,24169,2.82,4852,4336,4.8,5930,5047,2.7,5316,5863,6.24,8272,8388,4.34,6973,6044,173.755,476520,453789,4.445,11935,10759,4.18,11055,11152,26.6,43286,40592,4.32,5417,4738,19.035,53973,48349,3.055,8142,7524,3.8,9847,9176,7.255,19012,18190,4.065,11576,11127,47.24,123981,115873,5.995,16412,15738,2.24,6821,6853,11.73,32011,33043,8.37,13286,12731,7.72,22063,23077,21.99,24717,24169,3.81,10782,9383,4.47,13588,14251,4.34,6973,6044,"ohio"
"OK",121.84,58655,62123,204.79,72117,71145,1.52,856,1023,5.03,1827,2259,3.58,1517,1415,5.48,1877,1728,22.1,9975,11564,3.52,1414,1323,13.94,7110,7540,16.51,5989,6881,0.72,408,591,3.31,1264,1620,2.35,1059,1041,5.1,1769,1652,4.9,2381,2361,9.6,3121,2956,2.86,1436,1679,4.35,1456,1619,21.05,10670,10358,76.06,27185,23523,4.69,2230,2243,6.34,2335,2368,0.94,544,646,3.14,1135,1347,9.63,4632,4833,14.48,4869,4924,7.15,3323,3636,6.21,3169,3353,9.85,3342,3477,21.2,7526,7570,1.78,965,1275,2.77,1060,1510,2.97,1427,1729,5.69,1942,2502,3.62,1639,1765,163.315,130772,133268,3.275,2683,3282,4.53,3394,3143,22.1,9975,11564,3.52,1414,1323,15.225,13099,14421,2.015,1672,2211,3.725,2828,2693,7.25,5502,5317,3.605,2892,3298,48.555,37855,33881,5.515,4565,4611,2.04,1679,1993,12.055,9501,9757,7.15,3323,3636,8.03,6511,6830,21.2,7526,7570,2.275,2025,2785,4.33,3369,4231,3.62,1639,1765,"oklahoma"
"OR",130.85,55148,55670,192,64779,67918,1.61,848,894,6.32,2043,2139,3.78,1459,1296,5.83,1849,1657,24,9867,10409,2.88,1077,1193,13.33,5825,6647,16.99,5491,6556,1.22,557,525,4.47,1633,1551,2.22,893,929,4.84,1515,1575,5.31,2175,2121,9.41,2955,2823,2.69,1164,1482,3.54,1203,1552,27.19,10938,9458,63.82,21843,22458,4.41,2091,2018,6.93,2337,2284,1.4,599,569,2.8,1039,1269,8.36,3823,4309,11.92,4073,4713,8.38,3463,3260,7.15,3083,2978,10.03,3308,3305,22.89,7569,7270,2.13,1005,1114,3.45,1253,1414,2.86,1254,1514,5.9,2056,2364,3.67,1631,1558,161.425,119927,123588,3.965,2891,3033,4.805,3308,2953,24,9867,10409,2.88,1077,1193,15.16,11316,13203,2.845,2190,2076,3.53,2408,2504,7.36,5130,4944,3.115,2367,3034,45.505,32781,31916,5.67,4428,4302,2.1,1638,1838,10.14,7896,9022,8.38,3463,3260,8.59,6391,6283,22.89,7569,7270,2.79,2258,2528,4.38,3310,3878,3.67,1631,1558,"oregon"
"PA",135.08,285640,273096,205.83,314662,303493,1.96,4683,4367,6.99,10365,9465,3.31,5749,6266,4.62,6717,7416,26.96,54504,51115,3.52,5578,5843,16.67,37460,32734,21.79,33958,29142,0.99,2449,2601,5,7814,6993,2.23,4529,4552,4.78,6940,7087,5.15,10357,10184,8.77,12421,12407,3.73,7982,7311,4.55,6899,6901,19.32,42454,46240,62.7,99156,101733,4.96,10066,9821,6.93,10254,10065,0.93,2244,2859,3.28,5921,5850,12.38,27205,21066,17.13,26337,20978,8.23,16404,16201,6.12,14145,14670,9.45,14239,14903,22.38,31710,31306,2.94,6461,5536,5.23,7821,6432,3.18,8107,7479,7.4,12083,10665,4.21,8762,7778,170.455,600302,576589,4.475,15048,13832,3.965,12466,13682,26.96,54504,51115,3.52,5578,5843,19.23,71418,61876,2.995,10263,9594,3.505,11469,11639,6.96,22778,22591,4.14,14881,14212,41.01,141610,147973,5.945,20320,19886,2.105,8165,8709,14.755,53542,42044,8.23,16404,16201,7.785,28384,29573,22.38,31710,31306,4.085,14282,11968,5.29,20190,18144,4.21,8762,7778,"pennsylvania"
"RI",144.65,25502,23763,227.4,28075,25208,1.95,418,393,7.95,1032,793,3.97,594,536,6.17,689,615,30.92,4989,4397,2.93,464,501,18.89,3516,2900,24.87,3105,2429,1.55,272,228,5.84,741,576,2.31,403,397,5.33,641,584,4.42,805,898,7.48,919,1041,3.38,699,645,5.38,654,573,24.25,3875,3952,71.46,8952,8386,4.38,870,860,8.3,916,839,1.37,245,248,5.04,662,482,8.84,1751,1852,13.29,1668,1742,8.33,1392,1394,7,1293,1290,10.03,1270,1236,23.45,2708,2643,3.3,674,490,6.2,799,534,4.19,922,664,9.67,1263,888,3.86,742,679,186.025,53577,48971,4.95,1450,1186,5.07,1283,1151,30.92,4989,4397,2.93,464,501,21.88,6621,5329,3.695,1013,804,3.82,1044,981,5.95,1724,1939,4.38,1353,1218,47.855,12827,12338,6.34,1786,1699,3.205,907,730,11.065,3419,3594,8.33,1392,1394,8.515,2563,2526,23.45,2708,2643,4.75,1473,1024,6.93,2185,1552,3.86,742,679,"rhode island"
"SC",119.39,40867,45206,216.17,50381,49268,1.71,629,659,5.36,1227,1401,3.97,1277,1113,5.86,1587,1356,22.88,7755,8687,3.49,1101,1004,12.56,4349,5115,16.69,3947,4574,1.07,346,421,3.98,1000,1170,2.11,726,750,4.5,1188,1184,5,1586,1683,8.98,1919,2064,3.16,1044,1156,4.96,1044,1111,21.01,7217,8064,83.41,19525,16892,4.17,1499,1624,6.44,1531,1721,1.48,543,464,4.76,1081,959,7.96,2728,3403,12.66,2976,3442,6.9,2399,2718,6.33,2280,2344,10.33,2476,2390,23.45,4832,4554,1.91,669,848,2.93,701,983,2.51,877,1150,5.1,1277,1652,2.85,980,1240,167.78,91248,94474,3.535,1856,2060,4.915,2864,2469,22.88,7755,8687,3.49,1101,1004,14.625,8296,9689,2.525,1346,1591,3.305,1914,1934,6.99,3505,3747,4.06,2088,2267,52.21,26742,24956,5.305,3030,3345,3.12,1624,1423,10.31,5704,6845,6.9,2399,2718,8.33,4756,4734,23.45,4832,4554,2.42,1370,1831,3.805,2154,2802,2.85,980,1240,"south carolina"
"SD",119.99,14176,15616,177.7,17011,19359,1.03,192,273,5.4,574,646,3.91,366,342,4.92,432,439,24.29,2791,2844,2.44,232,324,15.28,1998,1962,17.96,1801,1907,0.69,101,146,3.58,362,435,2.86,332,261,4.94,464,441,4.74,600,608,8.9,830,806,3.08,378,433,3.48,309,442,14.85,1750,2517,50.35,4807,6256,5.26,604,566,6.97,643,634,0.6,93,158,2.17,219,355,10.05,976,1239,10.7,945,1333,7.17,872,897,6.35,828,857,10.45,944,948,23.22,2378,2212,2.75,286,332,4.06,392,421,4.08,426,450,7.25,690,695,3.46,438,449,148.845,31187,34975,3.215,766,919,4.415,798,781,24.29,2791,2844,2.44,232,324,16.62,3799,3869,2.135,463,581,3.9,796,702,6.82,1430,1414,3.28,687,875,32.6,6557,8773,6.115,1247,1200,1.385,312,513,10.375,1921,2572,7.17,872,897,8.4,1772,1805,23.22,2378,2212,3.405,678,753,5.665,1116,1145,3.46,438,449,"south dakota"
"TN",119.28,79100,86503,209.18,99126,96386,1.74,1311,1339,5,2417,2931,3.96,2336,2050,6.17,2973,2462,21.37,13962,16388,4.13,2342,1889,12.8,8990,10147,15.99,7878,9174,0.87,660,814,3.56,1788,2232,1.97,1319,1448,4.48,2194,2269,5.21,3318,3252,8.68,4027,4006,3.47,2133,2272,4.82,2164,2194,19.44,13303,14892,82.34,38999,32337,4.31,3005,3112,6.43,3214,3275,1.33,935,889,3.56,1731,1852,8.52,5594,6625,13.43,5960,6693,7.13,4693,5135,6.21,4406,4577,10.15,4871,4701,20.06,9164,9698,1.91,1333,1697,2.81,1452,2001,2.71,1833,2302,5.51,2601,3338,3.42,2127,2413,164.23,178226,182889,3.37,3728,4270,5.065,5309,4512,21.37,13962,16388,4.13,2342,1889,14.395,16868,19321,2.215,2448,3046,3.225,3513,3717,6.945,7345,7258,4.145,4297,4466,50.89,52302,47229,5.37,6219,6387,2.445,2666,2741,10.975,11554,13318,7.13,4693,5135,8.18,9277,9278,20.06,9164,9698,2.36,2785,3698,4.11,4434,5640,3.42,2127,2413,"tennessee"
"TX",117.08,222892,244003,194.5,270918,280186,1.28,2943,3721,4.48,6425,8384,3.42,5980,5989,4.94,7287,7501,20.23,38884,46575,3.27,5878,5456,12.07,23285,28247,15.2,21845,26456,0.97,1927,2254,3.61,5349,6487,2.13,3927,4055,4.48,6675,6632,5.4,9437,9392,9.01,12051,11965,3.8,6816,6339,5.51,7491,6346,20.45,41027,42021,67.49,95372,93699,4.12,8216,8777,5.96,9182,9711,1.06,2393,2496,3.35,5192,5364,10.08,17738,18568,15.57,20032,19497,6.73,12429,14468,6.23,12246,12743,9.95,13485,13566,20.59,26059,27721,1.42,3254,4722,2.62,3914,5737,3.42,6102,6416,6.26,8537,9608,3.03,5563,6712,155.79,493810,524189,2.88,9368,12105,4.18,13267,13490,20.23,38884,46575,3.27,5878,5456,13.635,45130,54703,2.29,7276,8741,3.305,10602,10687,7.205,21488,21357,4.655,14307,12685,43.97,136399,135720,5.04,17398,18488,2.205,7585,7860,12.825,37770,38065,6.73,12429,14468,8.09,25731,26309,20.59,26059,27721,2.02,7168,10459,4.84,14639,16024,3.03,5563,6712,"texas"
