I/O,Date,Source (1),Source (2),Source Region,Vessel Name,Vessel Size (CBM),Destination (1),Destination (2),Destination (3),Destination (4),Destination (5),Primary Destination Country,Primary Destination Region,C2,C3,C4,iC4,Participant (1),Participant (2),Participant (3),Participant (4),Participant (5),Participant (6),Participant (7),Special Notes
,06/15/11,Iran,Kharg Island,Middle East,Great Tribune,"78,000",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,,,,,,,,
,06/15/11,United Arab Emirates,Ruwais,Middle East,Sunny Bright,"78,918",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,,,,,,,,
,06/15/11,Qatar,Ras Laffan,Middle East,Crystal Mermaid,"75,382",South Korea,,,,,South Korea,Far East,0,"22,500","22,500",0,Tasweeq,Petredec,,,,,,
,06/16/11,Trinidad,Point Lisas,Caribbean,Coniston,"4,002",Caribbean,,,,,,Caribbean,0,"2,500",0,0,CaribLPG,,,,,,,
,06/16/11,Qatar,Messaied,Middle East,Maharshi Bhardwaj,"76,644",India,,,,,India,India,0,"22,000","22,000",0,IOC,,,,,,,
,06/16/11,Qatar,Ras Laffan,Middle East,Lubara,"82,000",South Korea,Japan,,,,South Korea,Far East,0,"22,500","22,500",0,Tasweeq,Itochu,,,,,,
,06/16/11,Venezuela,Jose,South America,Paramacay,"14,160",Curacao,,,,,Netherland Antilles,Caribbean,0,"3,885",0,"2,974",Pdvsa,,,,,,,
,06/17/11,Norway,Kaarstoe,North Sea,BW Odin,"38,000","Flushing, NL",,,,,Netherlands,Northwest Europe,0,"20,000",0,0,Statoil,,,,,,,
,06/17/11,Venezuela,Jose,South America,Dancing Brave,"22,000",Coastal Venezuela,,,,,Venezuela,South America,0,"6,039","4,647",0,Pdvsa,,,,,,,
,06/17/11,Algeria,Bethioua,Mediterranean,Rhourd El Adra,"22,500",Morocco,,,,,Morocco,Mediterranean,0,"6,000","6,000",0,SPC,,,,,,,
,06/17/11,United Arab Emirates,Ruwais,Middle East,Gas Friend,"78,000",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,Petredec,,,,,,,
,06/17/11,Kuwait,Mina Al Ahmadi,Middle East,Gas Al Mutlaa,"78,475",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,KPC,,,,,,,
,06/17/11,Saudi Arabia,Yanbu,Middle East,Isis Gas,"80,680",Egypt,,,,,Egypt,Mediterranean,0,"11,000","33,000",0,AMPTC,,,,,,,
,06/18/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,"18,438",0,0,Pdvsa,,,,,,,
,06/18/11,Venezuela,Jose,South America,Yavire,"14,160",Coastal Venezuela,,,,,Venezuela,South America,0,0,"7,435",0,Pdvsa,,,,,,,
,06/18/11,Kuwait,Mina Al Ahmadi,Middle East,Nichiyuh Maru,"78,508",Japan,,,,,Japan,Far East,0,"33,000","11,000",0,KPC,,,,,,,
,06/18/11,Algeria,Bethioua,Mediterranean,Djanet,"84,000",Turkey,,,,,Turkey,Mediterranean,0,"13,500","31,500",0,SPC,Demiroren,Aygaz,BP,,,,
,06/19/11,Norway,Mongstad,North Sea,Auteuil,"3,516",Antwerp,,,,,Belgium,Northwest Europe,0,"5,000",0,0,Statoil,,,,,,,
