"","PUMA","Year","X","VAL","HINCP","HHT_MDC","HHT_OF","HHT_NFLA","HHT_NFNLA","SEX_M","SEX_F","RACE_W","RACE_B","RACE_AI","RACE_AN","RACE_AIAN","RACE_A","RACE_PI","RACE_O","RACE_2M","EDU_NO","EDU_NOHS","EDU_HS","EDU_ALT","EDU_SC","EDU_AD","EDU_BD","EDU_MD","EDU_PD","EDU_DD","AGEP","PINCP","EDU_NONE","EDU_HSDIP","EDU_HIED"
"86","03902",2005,6,0,42,12,14,6,4,34,38,32,1,0,0,10,NA,NA,4,6,41,36,0,0,0,0,0,0,0,0,82,35,36,0,0
"87","03903",2005,6,0,41,13,15,9,8,41,45,27,15,5,0,0,NA,NA,24,17,48,43,1,0,0,0,0,0,0,0,77,31,44,1,0
"88","04001",2005,6,0,24,7,11,8,18,27,31,23,4,4,0,0,NA,NA,18,13,33,29,0,0,0,0,0,0,0,0,72,21,30,0,0
"89","04002",2005,6,0,17,3,18,5,5,22,25,6,12,5,0,5,NA,NA,54,7,30,23,0,0,0,0,0,0,0,0,67,16,24,0,0
"90","04003",2005,6,0,21,4,22,7,7,29,35,4,47,0,0,0,NA,NA,14,7,47,31,0,0,0,0,0,0,0,0,66,18,32,0,0
"91","04004",2005,6,0,35,6,12,13,18,26,30,13,20,1,0,20,NA,NA,12,17,23,27,2,0,0,0,0,0,0,0,75,43,28,1,0
"92","04005",2005,6,0,49,8,11,10,26,30,30,24,5,0,0,15,NA,NA,12,18,29,29,2,0,0,0,0,0,0,0,75,54,30,1,0
"93","04006",2005,6,0,21,4,21,10,10,25,34,5,42,0,0,5,NA,NA,8,13,37,28,0,0,0,0,0,0,0,0,71,23,29,0,0
"94","04007",2005,7,0,15,3,25,6,4,21,31,1,41,5,0,20,NA,NA,11,7,32,26,0,0,0,0,0,0,0,0,69,15,26,0,0
"95","04008",2005,7,0,22,6,22,7,5,27,37,5,34,13,0,30,NA,NA,32,21,45,31,0,0,0,0,0,0,0,0,73,17,32,0,0
"96","04009",2005,7,0,40,13,22,9,5,45,54,18,55,3,0,5,NA,NA,6,11,52,50,1,0,0,0,0,0,0,0,78,34,50,0,0
"97","04010",2005,7,0,31,6,24,7,3,29,37,1,61,1,0,10,NA,NA,5,4,30,33,0,0,0,0,0,0,0,0,75,30,34,0,0
"98","04011",2005,7,0,24,4,18,6,2,21,26,3,36,0,0,0,NA,NA,4,5,26,23,0,0,0,0,0,0,0,0,73,24,24,0,0
"99","04012",2005,7,0,26,8,14,6,12,33,32,19,2,3,0,10,NA,NA,27,9,43,32,1,0,0,0,0,0,0,0,74,21,33,1,0
