"","Name","Edition","City","Country","Owner","Seeker","Trader"
"171","[Mug Shot — «2016 Planting Mug Set»]","3 users","Various","Taiwan",3,0,1
"172","[Mug Shot — «2016 Plants in the City Mug»]","Limited Edition","Various","China",3,0,0
"173","[Mug Shot — «2016 Harmonious Plant Mug»]","Limited Edition","Various","China",2,1,0
"174","[Mug Shot — «2016 Anchor Mug»]","Limited Edition","Various","Taiwan",3,0,2
"175","[Mug Shot — «2016 Bangka Store Mug»]","Limited Edition","Taipei","Taiwan",7,2,2
"176","[Mug Shot — «2016 Bangka Store Red Mug»]","Limited Edition","Taipei","Taiwan",8,2,2
"177","[Mug Shot — «2016 Tung Flower Mug»]","Limited Edition","Various","Taiwan",4,0,2
"178","[Mug Shot — «2016 Tung Flower Demimug»]","Limited Edition","Various","Taiwan",4,0,2
"179","[Mug Shot — «2015 Etched Siren Tall Mug»]","Limited Edition","Various","USA",2,0,0
"180","[Mug Shot — «2015 Caleidoscope Stainless Steel Tumbler»]","Non-City Tumbler","Various","USA",1,0,0
"181","[Mug Shot — «2015 Multiple Siren Stainless Steel Tumbler»]","Non-City Tumbler","Various","USA",1,0,0
"182","[Mug Shot — «Guatemala Taster cup»]","Mini Mugs",NA,"Japan",8,5,0
"183","[Mug Shot — «Summer 2016 Dots Double wall glass cup»]","Limited Edition","Various","Japan",3,0,0
"184","[Mug Shot — «2008 Floral Relief Mug»]","Limited Edition","Various","China",2,0,0
"185","[Mug Shot — «Chile ΙΙ»]","08 Icon Edition",NA,"Chile",46,103,1
"186","[Mug Shot — «Roppongi Hills 13th Anniversary mug»]","Limited Edition","Tokyo","Japan",13,4,3
"187","[Mug Shot — «Nashville mini YAH 2016»]","14 YAH ornaments","Nashville","USA",11,21,0
"188","[Mug Shot — «Michigan mini YAH 2016»]","14 YAH ornaments","Michigan","USA",16,18,2
"189","[Mug Shot — «Orlando mini YAH 2016»]","14 YAH ornaments","Orlando","USA",14,20,0
"190","[Mug Shot — «2016 Frosted Pattern Glass 14oz»]","Limited Edition","Various","USA",2,0,0
"191","[Mug Shot — «Miami Mini YAH 2016»]","14 YAH ornaments","Miami","USA",17,18,0
"192","[Mug Shot — «2016 Sakura Opaque Glass»]","Limited Edition","Various","Taiwan",7,0,2
"193","[Mug Shot — «Washington D.C. mini YAH 2016»]","13 YAH Series Mini","Washington D.C.","USA",17,15,3
"194","[Mug Shot — «North Carolina mini YAH 2016»]","13 YAH Series Mini",NA,"USA",11,19,0
"195","[Mug Shot — «Colorado mini YAH 2016»]","13 YAH Series Mini",NA,"USA",13,18,1
"196","[Mug Shot — «Florida mini YAH 2016»]","13 YAH Series Mini",NA,"USA",18,17,2
"197","[Mug Shot — «Chicago mini YAH 2016»]","14 YAH ornaments","Chicago","USA",22,16,3
"198","[Mug Shot — «Philadelphia mini YAH 2016»]","14 YAH ornaments","Philadelphia","USA",23,18,3
"199","[Mug Shot — «Virginia mini YAH 2016»]","14 YAH ornaments",NA,"USA",18,18,1
"200","[Mug Shot — «New Jersey mini YAH 2016»]","14 YAH ornaments","New Jersey","USA",22,17,1
"201","[Mug Shot — «Dallas mini YAH 2016»]","14 YAH ornaments","Dallas","USA",19,18,1
"202","[Mug Shot — «Houston mini YAH 2016»]","14 YAH ornaments","Houston","USA",14,20,0
"203","[Mug Shot — «Texas mini YAH 2016»]","14 YAH ornaments",NA,"USA",22,16,2
"204","[Mug Shot — «Arizona mini YAH 2016»]","14 YAH ornaments",NA,"USA",20,17,2
"205","[Mug Shot — «2016 ANA Sakura Stainless Bottle (350mL)»]","Non-City Tumbler",NA,"Japan",2,1,0
"206","[Mug Shot — «Alaska mini YAH 2016»]","14 YAH ornaments",NA,"USA",14,21,0
"207","[Mug Shot — «Brunei - Nodding Donkey»]","Icon Tumbler",NA,"Brunei",1,2,0
"208","[Mug Shot — «2016 Set of two Cherry Blossom Glasses»]","Other...","Various","South Korea",4,3,1
"209","[Mug Shot — «2016 Cherry Blossom demimug 3oz»]","Limited Edition","Various","South Korea",5,3,1
"210","[Mug Shot — «2016 Cherry Blossom Mug 16 oz»]","Limited Edition","Various","South Korea",4,1,0
"211","[Mug Shot — «2016 Cherry Blossom Petal Demimug 3oz»]","Limited Edition","Various","South Korea",4,3,0
"212","[Mug Shot — «2016 Colour Block Blue Mug»]","Non-City Tumbler","various","Germany",3,0,0
"213","[Mug Shot — «2016 Colour Block Pink Mug»]","Non-City Tumbler","various","Germany",3,0,0
"214","[Mug Shot — «2016 Stainless Steel Cherry Blossom Tumbler»]","Non-City Tumbler","Various","Germany",3,1,0
"215","[Mug Shot — «2016 Stainless Steel Curved Tumbler»]","Non-City Tumbler","various","Germany",1,1,0
"216","[Mug Shot — «Bogor Dancer Tumbler»]","Indonesia Dancers","Bogor","Indonesia",2,0,1
"217","[Mug Shot — «California mini YAH 2016»]","14 YAH ornaments",NA,"USA",20,19,3
"218","[Mug Shot — «Ohio mini YAH 2016»]","14 YAH ornaments","Ohio","USA",15,23,0
"219","[Mug Shot — «Boston mini YAH 2016»]","14 YAH ornaments","Boston","USA",21,18,0
"220","[Mug Shot — «Atlanta mini YAH 2016»]","14 YAH ornaments","Atlanta","USA",15,21,1
"221","[Mug Shot — «Illinois mini YAH 2016»]","14 YAH ornaments",NA,"USA",21,18,4
"222","[Mug Shot — «2016 Pink Heart Valentine's Day Mug»]","Holiday Mugs","Various","Japan",1,1,0
"223","[Mug Shot — «2016 Etched Siren Logo Dark Blue Mug 12oz»]","Limited Edition","Various","Germany",5,0,0
"224","[Mug Shot — «2016 Etched Siren Logo Neon Orange Mug 12oz»]","Limited Edition","Various","Germany",4,0,0
"225","[Mug Shot — «2016 Etched Siren Logo Neon Pink Mug 12oz»]","Limited Edition","Various","Germany",6,2,2
"226","[Mug Shot — «2016 Cherry Blossom Mug 10oz ( in store exclusive)»]","Limited Edition","Various","Taiwan",6,2,0
"227","[Mug Shot — «2016 Songkran Festival Mug»]","Limited Edition","Various","Thailand",9,1,3
"228","[Mug Shot — «2016 Winter Floral Double Wall Swarovski Tumbler 12oz»]","Limited Edition","Hong Kong","China",6,2,1
"229","[Mug Shot — «2016 Cherry Blossom Demimug 3oz»]","Limited Edition","Various","Taiwan",6,4,1
"230","[Mug Shot — «Abstract Art - 2000 Barista»]","00 Barista Series",NA,"USA",2,0,0
"231","[Mug Shot — «2008 Orange Mug with cream interior 12oz»]","Limited Edition","Various","Germany",1,0,0
"232","[Mug Shot — «2016 Sakura Pink Logo Mug 200 ml»]","Limited Edition","Various","Japan",7,1,0
"233","[Mug Shot — «2016 Sakura Pink Logo Mug 380ml»]","Limited Edition","Various","Japan",6,1,0
"234","[Mug Shot — «Caffe Verona Mug»]","Coffee Blend Series",NA,"Japan",2,1,0
"235","[Mug Shot — «2016 Sakura Petal Mug»]","Limited Edition","Various","Japan",12,0,2
"236","[Mug Shot — «2016 Sakura Mug and Glass Set»]","Limited Edition","Various","Japan",7,0,0
"237","[Mug Shot — «Taiwan artsy series 16oz Jiaoxi»]","Asian Artsy Design Mugs",NA,"Taiwan",11,2,1
"238","[Mug Shot — «Taiwan artsy series 16oz Alishan»]","Asian Artsy Design Mugs",NA,"Taiwan",11,2,1
"239","[Mug Shot — «Taiwan artsy series 16oz Sun Moon Lake»]","Asian Artsy Design Mugs",NA,"Taiwan",11,2,1
"240","[Mug Shot — «Taiwan artsy series 16oz Kenting»]","Asian Artsy Design Mugs",NA,"Taiwan",14,1,1
"241","[Mug Shot — «Taiwan artsy series 16oz Tamsui»]","Asian Artsy Design Mugs",NA,"Taiwan",11,2,1
"242","[Mug Shot — «Taiwan artsy series 16oz Dajia»]","Asian Artsy Design Mugs",NA,"Taiwan",9,2,1
"243","[Mug Shot — «2016 Lake Breeze Mug 10 oz»]","Limited Edition","Various","China",1,3,0
"244","[Mug Shot — «2016 Budding Sakura Mug 12oz»]","Limited Edition","Various","China",1,2,0
"245","[Mug Shot — «2016 Cherry Blossom Mug 10 oz»]","Limited Edition","Various","China",1,3,0
"246","[Mug Shot — «2016 Prunus Cerasoides Mug»]","Limited Edition","Various","China",1,2,0
"247","[Mug Shot — «2016 China Steel Tumbler»]","City Tumbler",NA,"China",1,1,0
"248","[Mug Shot — «Wuhan Culture Mug»]","Asian Artsy Design Mugs",NA,"China",4,6,0
"249","[Mug Shot — «Diversity Cherry Blossom Mug 12oz»]","Holiday Mugs",NA,"China",4,3,0
"250","[Mug Shot — «2016 Korean Scripture Mug»]","Limited Edition","Various","South Korea",4,2,0
"251","[Mug Shot — «Taiwan artsy series 16oz Cingjing»]","Asian Artsy Design Mugs",NA,"Taiwan",11,4,1
"252","[Mug Shot — «Taiwan artsy series 16oz Taroko»]","Asian Artsy Design Mugs",NA,"Taiwan",11,6,1
"253","[Mug Shot — «Taiwan artsy series 16oz Sizihuan»]","Asian Artsy Design Mugs",NA,"Taiwan",12,4,1
"254","[Mug Shot — «White Mug with Star and Golden Handle»]","Limited Edition",NA,"Taiwan",2,1,0
"255","[Mug Shot — «Black Cup Short»]","Limited Edition",NA,"Taiwan",2,1,0
"256","[Mug Shot — «Black Cup Tall»]","Limited Edition",NA,"Taiwan",2,1,0
"257","[Mug Shot — «Macau Tumbler Black/White»]","City Tumbler","Macau","China",1,1,0
"258","[Mug Shot — «2015 Charcoal Reserve Mug 8oz»]","Coffee Origin Series",NA,"Taiwan",4,0,0
"259","[Mug Shot — «Jeju 2014 Yellow with harubangs»]","City Tumbler","Jeju","South Korea",3,0,0
"260","[Mug Shot — «Korea 2013 Green with fish»]","Non-City Tumbler",NA,"South Korea",2,0,0
"261","[Mug Shot — «2008 Starbucks ""Embossed Heart"" Valentines Mug»]","Holiday Mugs",NA,"USA",2,1,1
"262","[Mug Shot — «Halloween 2003 Barista Collection ""Jack-O-Lantern"" Mug»]","03 Barista series","N/A","USA",1,0,1
"263","[Mug Shot — «2008 Abbey Style Raised Letters Red Mug»]","Limited Edition","Various","Germany",1,0,0
"264","[Mug Shot — «2016 CNY Monkey Glass»]","Other...","Various","Taiwan",4,0,1
"265","[Mug Shot — «2016 Stainless Steel Yellow Tumbler»]","Non-City Tumbler","Various","South Korea",3,1,0
"266","[Mug Shot — «2016 Korean Scripture Mug»]","Limited Edition","Various","South Korea",5,1,0
"267","[Mug Shot — «2016 Spring Butterfly Demi Blue»]","Limited Edition","Various","South Korea",8,1,0
"268","[Mug Shot — «2016 Spring Butterfly demi Yellow»]","Limited Edition","Various","South Korea",7,2,0
"269","[Mug Shot — «2016 Spring Butterfly Mug»]","Limited Edition","Various","South Korea",4,0,1
