"OPEID","Name","Address","City","State","State Desc","Zip Code","Zip Ext","Program Length","Sch Type","Year 1","Num 1","Denom 1","DRate 1","PRate 1","Ethnic Code","Cong Dis","Region","Average or Greater Than 30","Year 2","Num 2","Denom 2","DRate 2","PRate 2","Year 3","Num 3","Denom 3","DRate 3","PRate 3"
"001074","GRAND CANYON UNIVERSITY","3300 WEST CAMELBACK ROAD","PHOENIX","AZ","ARIZONA","85017","3030","8","3","2012","2331","22551","10.3","A","5","04","09","0","2011","3359","21367","15.7","A","2010","3097","16259","19","A"
"001076","GLENDALE COMMUNITY COLLEGE","6000 WEST OLIVE AVENUE","GLENDALE","AZ","ARIZONA","85302","3090","5","1","2012","649","2943","22","A","5","02","09","0","2011","378","2078","18.1","A","2010","298","1688","17.6","A"
"001077","MESA COMMUNITY COLLEGE","1833 WEST SOUTHERN AVENUE","MESA","AZ","ARIZONA","85202","4866","5","1","2012","1174","5105","22.9","A","5","05","09","0","2011","732","3808","19.2","A","2010","685","3101","22","A"
"001078","PHOENIX COLLEGE","1202 WEST THOMAS ROAD","PHOENIX","AZ","ARIZONA","85013","4234","5","1","2012","574","2312","24.8","A","3","04","09","0","2011","291","1408","20.6","A","2010","245","1157","21.1","A"
"001079","YAVAPAI COLLEGE","1100 EAST SHELDON STREET","PRESCOTT","AZ","ARIZONA","86301","3297","5","1","2012","131","563","23.2","A","5","01","09","0","2011","78","404","19.3","A","2010","69","309","22.3","A"
"001081","ARIZONA STATE UNIVERSITY","STUDENT FINANCIAL ASSISTANCE OFFICE1151 SOUTH FORE","TEMPE","AZ","ARIZONA","85287","0412","8","1","2012","1096","14964","7.3","A","5","05","09","0","2011","1072","12563","8.5","A","2010","892","11015","8","A"
"001082","NORTHERN ARIZONA UNIVERSITY","GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209","FLAGSTAFF","AZ","ARIZONA","86011","0001","8","1","2012","463","6336","7.3","A","5","01","09","0","2011","567","5513","10.2","A","2010","443","4732","9.3","A"
"001083","UNIVERSITY OF ARIZONA (THE)","PO BOX 210066                      ADMINISTRATION","TUCSON","AZ","ARIZONA","85721","0066","8","1","2012","384","6390","6","P","5","07","09","0","2011","398","5682","7","P","2010","352","5157","6.8","P"
"001085","UNIVERSITY OF ARKANSAS AT MONTICELLO","140 UNIVERSITY DRIVE","MONTICELLO","AR","ARKANSAS","71656","0000","8","1","2012","320","1284","24.9","P","5","04","06","0","2011","266","1174","22.6","P","2010","255","942","27","P"
"001086","UNIVERSITY OF ARKANSAS AT PINE BLUFF","1200 NORTH UNIVERSITY DRIVE","PINE BLUFF","AR","ARKANSAS","71601","2790","8","1","2012","294","1189","24.7","A","2","04","06","0","2011","407","1360","29.9","A","2010","300","1027","29.2","A"
"001087","ARKANSAS BAPTIST COLLEGE","1621 DOCTOR MARTIN L. KING DRIVE","LITTLE ROCK","AR","ARKANSAS","72202","6099","6","2","2012","249","979","25.4","A","2","02","06","0","2011","75","289","25.9","A","2010","80","280","28.5","A"
"001088","LYON COLLEGE","2300 HIGHLAND ROAD","BATESVILLE","AR","ARKANSAS","72501","3699","6","2","2012","13","202","6.4","A","5","01","06","0","2011","15","152","9.8","A","2010","10","118","8.4","A"
"001089","ARKANSAS TECH UNIVERSITY","215 WEST O STREET","RUSSELLVILLE","AR","ARKANSAS","72801","2222","8","1","2012","404","2351","17.1","P","5","03","06","0","2011","372","2136","17.4","P","2010","311","1682","18.4","P"
"001090","ARKANSAS STATE UNIVERSITY","2105 AGGIE ROAD","JONESBORO","AR","ARKANSAS","72401","0000","8","1","2012","482","4719","10.2","P","5","01","06","0","2011","686","4673","14.6","P","2010","649","3490","18.5","P"
"001091","ARKANSAS STATE UNIVERSITY - BEEBE","1000 IOWA STREET","BEEBE","AR","ARKANSAS","72012","1000","5","1","2012","147","733","20","P","5","02","06","0","2011","123","666","18.4","P","2010","142","690","20.5","P"
"001092","UNIVERSITY OF CENTRAL ARKANSAS","201 DONAGHEY AVENUE","CONWAY","AR","ARKANSAS","72035","0001","8","1","2012","247","2701","9.1","A","5","02","06","0","2011","281","2765","10.1","A","2010","373","2605","14.3","A"
"001093","CENTRAL BAPTIST COLLEGE","1501 COLLEGE AVENUE","CONWAY","AR","ARKANSAS","72034","6470","6","2","2012","23","211","10.9","A","5","02","06","0","2011","19","178","10.6","A","2010","22","149","14.7","A"
"001094","UNIVERSITY OF THE OZARKS","415 NORTH COLLEGE AVENUE","CLARKSVILLE","AR","ARKANSAS","72830","2880","6","2","2012","23","131","17.5","A","5","03","06","0","2011","18","116","15.5","A","2010","10","112","8.9","A"
"001095","CROWLEY'S RIDGE COLLEGE","100 COLLEGE DRIVE","PARAGOULD","AR","ARKANSAS","72450","9775","6","2","2012","17","69","24.6","A","5","01","06","0","2011","12","53","22.6","A","2010","11","41","26.8","A"
"001097","HARDING UNIVERSITY","915 EAST MARKET","SEARCY","AR","ARKANSAS","72149","0001","8","2","2012","41","1312","3.1","A","5","02","06","0","2011","53","1201","4.4","A","2010","81","1165","6.9","A"
"001098","HENDERSON STATE UNIVERSITY","1100 HENDERSON STREET","ARKADELPHIA","AR","ARKANSAS","71999","0001","8","1","2012","163","1092","14.9","A","5","04","06","0","2011","150","969","15.4","A","2010","159","921","17.2","A"
