OPEID,SCHOOL,ADDR,CITY,STATE,ST_DESC,ZIP,ZIP_EXT,Country,LONGEST PROGRAM LENGTH,SCHOOL TYPE,COHORT YEAR,NUMBER IN DEFAULT,NUMBER ENTERING REPAYMENT,DEFAULT RATE,PRATE,ETH_CERT,PROGRAM,CON_DIST,REGION,AVGOR_GE30
030651,ABC Beauty College,2708 West Pine Street,Arkadelphia,AR,Arkansas,71923,4206,,Non-Degree 1 Year (900-1799 hours),Prop,2009,3,29,10.3,A,,B,04,06,1
001094,University of the Ozarks,415 North College Avenue,Clarksville,AR,Arkansas,72830,2880,,Bachelor's Degree,Priv,2009,22,128,17.1,A,,B,03,06,1
023308,JRMC School of Nursing,1600 West 40th,Pine Bluff,AR,Arkansas,71603,6301,,Non-Degree 2 Years (1800-2699 hours),Priv,2009,3,20,15,A,,B,04,06,1
030071,Hot Springs Beauty College,100 Cones Road,Hot Springs,AR,Arkansas,71901,5432,,Non-Degree 1 Year (900-1799 hours),Prop,2009,1,8,12.5,A,,B,04,06,1
001102,Ouachita Baptist University,410 Ouachita Drive,Arkadelphia,AR,Arkansas,71998,0001,,Bachelor's Degree,Priv,2009,18,236,7.6,A,,B,04,06,1
031052,Baptist Health Schools Little Rock,11900 Colonel Glenn Road,Little Rock,AR,Arkansas,72210,2820,,Non-Degree 3 Plus Years (>= 2700 hours),Priv,2009,14,114,12.2,A,,B,02,06,1
001088,Lyon College,2300 Highland Road,Batesville,AR,Arkansas,72501,3699,,Bachelor's Degree,Priv,2009,8,110,7.2,A,,B,01,06,1
001099,Hendrix College,1600 Washington Avenue,Conway,AR,Arkansas,72032,3080,,Master's Degree or Doctor's Degree,Priv,2009,11,166,6.6,A,,B,02,06,1
001108,University of Arkansas,425 Administration Building,Fayetteville,AR,Arkansas,72701,0000,,Master's Degree or Doctor's Degree,Pub,2009,188,2665,7,P,,B,03,06,1
023417,Career Academy of Hair Design,346 East Robinson Avenue,Springdale,AR,Arkansas,72764,7128,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,3,0,A,,D,03,06,1
001097,Harding University,915 East Market,Searcy,AR,Arkansas,72149,0001,,Master's Degree or Doctor's Degree,Priv,2009,48,1175,4,A,,B,02,06,1
030051,Arkansas Beauty School,5108 Baseline Road,Little Rock,AR,Arkansas,72209,5116,,Non-Degree 1 Year (900-1799 hours),Prop,2009,4,40,10,A,,B,02,06,1
001109,University of Arkansas for Medical Sciences,4301 West Markham Street,Little Rock,AR,Arkansas,72205,7102,,Master's Degree or Doctor's Degree,Pub,2009,20,623,3.2,P,,B,02,06,1
010741,Academy of Salon and Spa,311 South 16th Street,Fort Smith,AR,Arkansas,72901,3886,,Non-Degree 1 Year (900-1799 hours),Prop,2009,9,63,14.2,A,,B,03,06,1
001100,John Brown University,2000 West University Street,Siloam Springs,AR,Arkansas,72761,2747,,Master's Degree or Doctor's Degree,Priv,2009,16,515,3.1,A,,B,03,06,1
025258,Lees School of Cosmetology,2700 West Pershing Boulevard,North Little Rock,AR,Arkansas,72114,3800,,Non-Degree 1 Year (900-1799 hours),Prop,2009,3,19,15.7,A,,B,02,06,1
030234,Arkansas College of Barbering & Hair Design,200 Washington Avenue,North Little Rock,AR,Arkansas,72114,5615,,Non-Degree 1 Year (900-1799 hours),Prop,2009,18,77,23.3,A,,B,02,06,1
001106,Williams Baptist College,60 W. Fullbright Avenue,Walnut Ridge,AR,Arkansas,72476,4661,,Bachelor's Degree,Priv,2009,13,171,7.6,A,,B,01,06,1
032543,Margaret's Hair Academy,305 East Gaines Street,Monticello,AR,Arkansas,71655,4905,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,20,0,A,,B,02,06,1
001105,Shorter College,604 Locust Street,North Little Rock,AR,Arkansas,72114,4885,,Associate's Degree,Priv,2009,0,0,0,A,,,02,06,1
007044,Crowley's Ridge Technical Institute,1620 Newcastle Road,Forrest City,AR,Arkansas,72336,0000,,Non-Degree 1 Year (900-1799 hours),Pub,2009,0,0,0,A,,B,01,06,1
020737,Northwest Technical Institute,709 South Old Missouri Road,Springdale,AR,Arkansas,72765,2000,,Non-Degree 1 Year (900-1799 hours),Pub,2009,0,0,0,A,,B,03,06,1
021111,Rich Mountain Community College,1100 College Drive,Mena,AR,Arkansas,71953,2500,,Associate's Degree,Pub,2009,0,0,0,A,,D,04,06,1
022024,Professional Cosmetology Education Center,460 North Washington Avenue,El Dorado,AR,Arkansas,71730,3349,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,6,0,A,,B,04,06,1
022209,Cossatot Community College of the University of Arkansas,183 College Drive,De Queen,AR,Arkansas,71832,0000,,Associate's Degree,Pub,2009,0,0,0,A,,,04,06,1
022874,Marsha Kay Beauty College,408 Highway 201 North,Mountain Home,AR,Arkansas,72653,3164,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,B,01,06,1
023482,Mid-South Community College,2000 West Broadway,West Memphis,AR,Arkansas,72301,3829,,Associate's Degree,Pub,2009,0,0,0,A,,B,01,06,1
035194,Lynndale Fundamentals of Beauty School,1729 Champagnolle Road,El Dorado,AR,Arkansas,71730,4804,,Non-Degree 1 Year (900-1799 hours),Prop,2009,0,0,0,A,,D,04,06,0
010010,American Samoa Community College,2609 Mapusaga Road,Pago Pago,AS,American Samoa,96799,2609,,Associate's Degree,Pub,2009,0,0,0,A,,,AL,09,1
011864,Mohave Community College,1971 Jagerson Avenue,Kingman,AZ,Arizona,86409,1238,,Associate's Degree,Pub,2009,310,849,36.5,A,,B,02,09,1
034453,HDS Truck Driving Institute,6251 South Wilmot Road,Tucson,AZ,Arizona,85706,9263,,Non-Degree (600-899 hours),Prop,2009,22,104,21.1,A,,B,08,09,1
031203,CollegeAmerica - Flagstaff,3012 East Route 66,Flagstaff,AZ,Arizona,86004,3936,,Bachelor's Degree,Prop,2009,83,206,40.2,A,,B,01,09,1
010847,Arizona Automotive Institute,6829 North 46th Avenue,Glendale,AZ,Arizona,85301,3503,,Associate's Degree,Prop,2009,186,686,27.1,A,,B,04,09,1
001071,Arizona Western College,2020 South Avenue 8E,Yuma,AZ,Arizona,85365,8847,,Associate's Degree,Pub,2009,95,337,28.1,A,,B,07,09,1
020988,University of Phoenix,1625 West Fountainhead Parkway,Tempe,AZ,Arizona,85282,2371,,Master's Degree or Doctor's Degree,Prop,2009,49592,187798,26.4,A,,B,04,09,1
007283,Central Arizona College,8470 North Overfield Road,Coolidge,AZ,Arizona,85228,9779,,Associate's Degree,Pub,2009,83,352,23.5,A,,B,01,09,1
026167,Le Cordon Bleu College of Culinary Arts,8100 East Camelback Road Suite 1001,Scottsdale,AZ,Arizona,85251,2729,,Bachelor's Degree,Prop,2009,344,1300,26.4,A,,B,05,09,1
007266,Pima County Community College,401 North Bonita Avenue,Tucson,AZ,Arizona,85709,5000,,Associate's Degree,Pub,2009,553,2358,23.4,A,,B,07,09,1
